accident_id,city,state,latitude,longitude,date,time,hour,day_of_week,is_weekend,road_type,lanes,traffic_signal,weather,visibility,temperature,traffic_density,cause,accident_severity,vehicles_involved,casualties,is_peak_hour,festival,risk_score
7700,Kolkata,West Bengal,22.426837,88.373056,2024-12-28,1:00,1,Saturday,1,urban,3,1,rain,low,38,medium,poor road,minor,2,0,0,None,0.45
7701,Hyderabad,Telangana,17.43842,78.5624,2023-05-23,3:00,3,Tuesday,0,urban,1,0,fog,low,32,high,poor road,major,1,0,0,None,0.65
7702,Pune,Maharashtra,18.436039,73.778216,2024-12-16,21:00,21,Monday,0,highway,2,0,clear,high,20,low,drunk driving,minor,4,0,0,None,0.1
7703,Chennai,Tamil Nadu,13.159884,80.213915,2024-10-05,8:00,8,Saturday,1,rural,3,0,rain,medium,40,low,overspeeding,major,2,2,1,None,0.4
7704,Hyderabad,Telangana,17.499574,78.356679,2023-02-23,22:00,22,Thursday,0,rural,1,1,rain,low,18,high,overspeeding,fatal,2,2,0,None,0.85
7705,Pune,Maharashtra,18.672685,73.910219,2024-01-19,17:00,17,Friday,0,rural,2,0,rain,medium,33,low,poor road,minor,2,2,1,None,0.4
7706,Hyderabad,Telangana,17.336584,78.411214,2022-02-11,23:00,23,Friday,0,urban,2,1,rain,low,38,low,drunk driving,minor,3,2,0,None,0.45
7707,Hyderabad,Telangana,17.285285,78.359758,2024-06-18,16:00,16,Tuesday,0,highway,2,0,rain,low,24,high,distraction,major,5,4,0,None,0.65
7708,Delhi,Delhi,28.548303,76.889477,2022-07-06,3:00,3,Wednesday,0,urban,2,0,rain,low,36,low,poor road,fatal,1,1,0,None,0.65
7709,Bangalore,Karnataka,12.979437,77.584127,2023-08-21,17:00,17,Monday,0,rural,5,0,fog,low,39,medium,weather,major,5,4,1,None,0.6
7710,Chennai,Tamil Nadu,12.987623,80.112318,2023-01-10,17:00,17,Tuesday,0,urban,3,1,clear,high,28,high,overspeeding,minor,3,3,1,None,0.45
7711,Kolkata,West Bengal,22.625822,88.378674,2024-06-28,14:00,14,Friday,0,highway,3,0,clear,high,26,low,drunk driving,minor,4,1,0,None,0.1
7712,Bangalore,Karnataka,13.106437,77.452273,2022-12-30,0:00,0,Friday,0,highway,6,0,rain,low,22,low,overspeeding,minor,2,0,0,None,0.45
7713,Bangalore,Karnataka,12.935501,77.776475,2023-09-08,19:00,19,Friday,0,rural,6,1,clear,high,38,medium,weather,minor,5,3,1,None,0.25
7714,Chandigarh,Punjab,30.765121,76.78567,2025-01-01,19:00,19,Wednesday,0,highway,3,1,fog,low,25,high,overspeeding,fatal,3,3,1,None,1.0
7715,Delhi,Delhi,28.886186,77.005326,2024-04-08,23:00,23,Monday,0,urban,4,1,fog,low,31,low,overspeeding,major,5,0,0,None,0.45
7716,Chandigarh,Punjab,30.642522,76.855203,2024-11-06,5:00,5,Wednesday,0,urban,2,0,clear,high,33,low,weather,minor,2,1,0,None,0.1
7717,Mumbai,Maharashtra,18.843399,72.804617,2023-05-15,8:00,8,Monday,0,rural,3,1,clear,high,23,high,overspeeding,minor,1,0,1,None,0.45
7718,Bangalore,Karnataka,13.052163,77.714219,2023-02-20,14:00,14,Monday,0,rural,4,0,fog,low,38,medium,poor road,minor,2,2,0,None,0.45
7719,Mumbai,Maharashtra,19.183125,72.906834,2024-09-01,18:00,18,Sunday,1,urban,4,1,fog,low,25,medium,drunk driving,minor,2,0,1,None,0.6
7720,Mumbai,Maharashtra,19.11724,72.758037,2025-02-22,2:00,2,Saturday,1,highway,6,1,fog,low,29,low,drunk driving,minor,5,3,0,None,0.45
7721,Kolkata,West Bengal,22.617191,88.330899,2022-05-24,17:00,17,Tuesday,0,rural,3,0,fog,low,22,high,poor road,fatal,4,4,1,None,1.0
7722,Chandigarh,Punjab,30.742586,76.709528,2023-02-16,17:00,17,Thursday,0,highway,5,1,fog,low,30,high,poor road,minor,2,1,1,None,0.8
7723,Mumbai,Maharashtra,18.859654,72.78127,2022-05-14,23:00,23,Saturday,1,rural,1,1,clear,high,38,medium,poor road,major,5,4,0,None,0.1
7724,Chennai,Tamil Nadu,13.176195,80.149357,2022-02-26,22:00,22,Saturday,1,rural,5,1,clear,high,16,low,overspeeding,minor,2,0,0,None,0.1
7725,Kolkata,West Bengal,22.460252,88.290495,2023-08-17,6:00,6,Thursday,0,highway,5,0,fog,low,33,high,weather,minor,2,0,0,None,0.65
7726,Chennai,Tamil Nadu,12.942369,80.162074,2022-08-13,21:00,21,Saturday,1,rural,1,0,fog,low,27,medium,weather,minor,5,1,0,None,0.45
7727,Hyderabad,Telangana,17.279077,78.588673,2023-07-13,1:00,1,Thursday,0,urban,4,1,rain,low,36,medium,distraction,minor,1,1,0,None,0.45
7728,Pune,Maharashtra,18.440131,73.973884,2022-05-12,13:00,13,Thursday,0,highway,6,1,fog,low,37,high,overspeeding,major,4,2,0,None,0.65
7729,Delhi,Delhi,28.550913,76.994045,2023-01-19,2:00,2,Thursday,0,highway,6,0,fog,low,40,low,distraction,minor,3,2,0,None,0.45
7730,Delhi,Delhi,28.788106,76.864866,2024-03-06,22:00,22,Wednesday,0,highway,4,1,fog,low,40,medium,drunk driving,minor,5,1,0,None,0.45
7731,Mumbai,Maharashtra,18.813249,72.741021,2022-06-14,11:00,11,Tuesday,0,highway,3,1,rain,medium,37,low,overspeeding,minor,3,1,0,None,0.25
7732,Pune,Maharashtra,18.625829,73.79056,2022-09-29,17:00,17,Thursday,0,urban,2,1,clear,high,27,high,distraction,minor,5,0,1,None,0.45
7733,Bangalore,Karnataka,12.888439,77.439048,2023-10-02,13:00,13,Monday,0,highway,3,0,fog,low,15,low,distraction,major,3,0,0,None,0.45
7734,Mumbai,Maharashtra,19.038915,72.749488,2025-01-11,14:00,14,Saturday,1,urban,6,1,fog,low,21,high,distraction,minor,2,0,0,None,0.65
7735,Hyderabad,Telangana,17.361121,78.212184,2024-05-29,16:00,16,Wednesday,0,urban,1,1,clear,high,23,low,poor road,minor,4,3,0,None,0.1
7736,Chennai,Tamil Nadu,12.884835,80.121577,2024-11-09,18:00,18,Saturday,1,highway,1,1,clear,high,30,high,drunk driving,minor,5,3,1,None,0.45
7737,Pune,Maharashtra,18.536002,73.818956,2024-10-13,13:00,13,Sunday,1,urban,2,0,rain,low,19,medium,weather,minor,4,4,0,None,0.45
7738,Chandigarh,Punjab,30.724346,76.802158,2025-03-26,14:00,14,Wednesday,0,rural,4,1,rain,low,33,medium,overspeeding,minor,3,0,0,None,0.45
7739,Chennai,Tamil Nadu,13.100044,80.224497,2022-10-14,9:00,9,Friday,0,highway,3,1,clear,high,18,high,overspeeding,minor,5,2,1,None,0.45
7740,Delhi,Delhi,28.600306,77.045472,2022-10-22,22:00,22,Saturday,1,highway,6,1,rain,medium,16,high,overspeeding,fatal,4,4,0,None,0.65
7741,Chennai,Tamil Nadu,12.980086,80.151502,2024-03-21,19:00,19,Thursday,0,urban,1,0,clear,high,15,high,weather,minor,1,0,1,None,0.45
7742,Mumbai,Maharashtra,18.998617,72.734364,2022-03-05,2:00,2,Saturday,1,highway,6,0,clear,high,15,low,drunk driving,major,3,2,0,None,0.1
7743,Hyderabad,Telangana,17.336604,78.35024,2023-12-25,14:00,14,Monday,0,rural,3,0,rain,medium,16,low,poor road,minor,1,0,0,None,0.25
7744,Bangalore,Karnataka,12.898302,77.615497,2023-10-14,5:00,5,Saturday,1,urban,2,1,fog,low,23,medium,distraction,minor,3,0,0,None,0.45
7745,Chennai,Tamil Nadu,12.831805,80.239189,2023-08-04,2:00,2,Friday,0,highway,2,1,fog,low,22,low,poor road,minor,4,1,0,None,0.45
7746,Chandigarh,Punjab,30.757765,76.820631,2023-02-10,12:00,12,Friday,0,rural,6,0,clear,high,18,high,drunk driving,minor,3,2,0,None,0.3
7747,Bangalore,Karnataka,12.957997,77.450369,2022-07-19,21:00,21,Tuesday,0,rural,2,0,rain,low,29,medium,distraction,minor,2,2,0,None,0.45
7748,Chandigarh,Punjab,30.659206,76.861027,2024-01-20,15:00,15,Saturday,1,urban,5,1,rain,medium,31,high,overspeeding,major,2,0,0,None,0.45
7749,Hyderabad,Telangana,17.435853,78.564867,2022-06-30,1:00,1,Thursday,0,highway,6,0,rain,medium,23,low,drunk driving,minor,5,2,0,None,0.25
7750,Chennai,Tamil Nadu,13.044704,80.25399,2023-12-14,1:00,1,Thursday,0,highway,1,0,fog,low,28,low,weather,minor,1,0,0,None,0.45
7751,Pune,Maharashtra,18.508437,73.746954,2022-02-04,0:00,0,Friday,0,urban,2,1,rain,low,34,low,weather,major,4,3,0,None,0.45
7752,Chennai,Tamil Nadu,13.047579,80.260411,2022-01-31,19:00,19,Monday,0,rural,3,0,fog,low,23,high,distraction,major,4,3,1,None,0.8
7753,Hyderabad,Telangana,17.297599,78.237545,2022-10-11,21:00,21,Tuesday,0,rural,5,1,rain,low,25,medium,distraction,major,2,0,0,None,0.45
7754,Kolkata,West Bengal,22.569467,88.444806,2023-07-12,20:00,20,Wednesday,0,highway,1,1,clear,high,33,low,weather,major,3,3,0,None,0.1
7755,Hyderabad,Telangana,17.462014,78.386699,2025-01-31,19:00,19,Friday,0,highway,1,1,clear,high,31,low,poor road,major,2,0,1,None,0.25
7756,Pune,Maharashtra,18.413313,73.940816,2023-12-01,14:00,14,Friday,0,highway,6,0,rain,medium,40,high,distraction,minor,2,0,0,None,0.45
7757,Pune,Maharashtra,18.572585,73.862839,2023-04-17,7:00,7,Monday,0,urban,4,0,fog,low,26,high,weather,minor,1,0,0,None,0.65
7758,Delhi,Delhi,28.646002,77.053842,2025-01-29,0:00,0,Wednesday,0,highway,5,1,clear,high,15,medium,poor road,minor,3,3,0,None,0.1
7759,Hyderabad,Telangana,17.496988,78.497493,2022-08-17,5:00,5,Wednesday,0,urban,4,0,rain,medium,18,medium,overspeeding,major,3,3,0,None,0.25
7760,Pune,Maharashtra,18.614212,73.745598,2022-09-07,0:00,0,Wednesday,0,urban,2,1,fog,low,27,low,distraction,minor,5,2,0,None,0.45
7761,Mumbai,Maharashtra,19.01059,72.857945,2022-02-02,16:00,16,Wednesday,0,rural,3,1,clear,high,31,medium,distraction,major,1,0,0,None,0.1
7762,Kolkata,West Bengal,22.421635,88.492932,2022-07-02,16:00,16,Saturday,1,rural,5,0,fog,low,23,medium,poor road,fatal,5,5,0,None,0.65
7763,Pune,Maharashtra,18.400888,73.782123,2024-08-26,12:00,12,Monday,0,urban,3,1,fog,low,21,medium,drunk driving,minor,4,1,0,None,0.45
7764,Chandigarh,Punjab,30.649798,76.879915,2022-08-16,7:00,7,Tuesday,0,urban,1,0,rain,low,15,medium,overspeeding,minor,3,1,0,None,0.45
7765,Hyderabad,Telangana,17.2021,78.451924,2024-11-25,21:00,21,Monday,0,rural,3,0,clear,high,30,high,weather,major,2,2,0,None,0.3
7766,Mumbai,Maharashtra,19.092708,72.754245,2024-11-12,3:00,3,Tuesday,0,rural,3,0,clear,high,28,low,overspeeding,minor,1,0,0,None,0.1
7767,Bangalore,Karnataka,13.024228,77.713702,2022-12-05,15:00,15,Monday,0,highway,6,1,fog,low,28,medium,drunk driving,minor,2,2,0,None,0.45
7768,Kolkata,West Bengal,22.441348,88.378406,2022-05-07,21:00,21,Saturday,1,urban,1,1,fog,low,26,high,weather,minor,3,1,0,None,0.65
7769,Bangalore,Karnataka,13.139692,77.783499,2024-02-21,7:00,7,Wednesday,0,urban,4,1,clear,high,23,low,poor road,major,2,2,0,None,0.1
7770,Hyderabad,Telangana,17.401655,78.588767,2023-04-01,7:00,7,Saturday,1,urban,1,0,clear,high,38,low,weather,minor,3,2,0,None,0.1
7771,Hyderabad,Telangana,17.408813,78.476253,2024-02-13,6:00,6,Tuesday,0,urban,6,1,clear,high,16,low,weather,fatal,1,1,0,None,0.3
7772,Bangalore,Karnataka,13.012907,77.550983,2022-04-28,8:00,8,Thursday,0,urban,3,0,rain,low,24,low,weather,major,4,4,1,None,0.6
7773,Chennai,Tamil Nadu,13.000714,80.231601,2023-12-17,19:00,19,Sunday,1,urban,6,1,fog,low,22,high,drunk driving,minor,4,2,1,None,0.8
7774,Chennai,Tamil Nadu,12.80441,80.275275,2023-01-10,13:00,13,Tuesday,0,rural,2,1,fog,low,39,medium,overspeeding,minor,5,4,0,None,0.45
7775,Kolkata,West Bengal,22.625094,88.434714,2024-01-17,2:00,2,Wednesday,0,highway,3,0,rain,medium,34,low,distraction,minor,5,0,0,None,0.25
7776,Bangalore,Karnataka,12.92425,77.724942,2023-03-01,9:00,9,Wednesday,0,rural,2,0,fog,low,21,low,overspeeding,minor,4,1,1,None,0.6
7777,Kolkata,West Bengal,22.673819,88.429027,2025-04-09,15:00,15,Wednesday,0,urban,4,0,rain,medium,38,low,poor road,minor,2,1,0,None,0.25
7778,Mumbai,Maharashtra,19.184388,72.822402,2024-07-13,16:00,16,Saturday,1,rural,1,0,clear,high,36,high,drunk driving,minor,3,1,0,None,0.3
7779,Kolkata,West Bengal,22.467572,88.35796,2022-08-22,1:00,1,Monday,0,highway,2,0,clear,high,22,low,distraction,minor,2,1,0,None,0.1
7780,Hyderabad,Telangana,17.418215,78.541872,2024-09-30,16:00,16,Monday,0,highway,3,0,rain,medium,24,low,poor road,minor,3,0,0,None,0.25
7781,Mumbai,Maharashtra,18.884448,72.721281,2023-12-04,22:00,22,Monday,0,urban,1,1,clear,high,32,medium,overspeeding,major,2,2,0,None,0.1
7782,Chandigarh,Punjab,30.638759,76.864095,2023-08-31,12:00,12,Thursday,0,highway,1,1,rain,low,34,low,distraction,major,1,1,0,None,0.45
7783,Pune,Maharashtra,18.687794,73.897396,2025-03-05,7:00,7,Wednesday,0,urban,1,0,fog,low,18,high,poor road,minor,2,1,0,None,0.65
7784,Bangalore,Karnataka,12.970011,77.404328,2023-06-03,7:00,7,Saturday,1,urban,5,0,rain,low,39,medium,drunk driving,minor,1,1,0,None,0.45
7785,Bangalore,Karnataka,13.079428,77.495625,2024-10-30,10:00,10,Wednesday,0,rural,4,1,clear,high,25,high,distraction,major,5,1,1,None,0.45
7786,Hyderabad,Telangana,17.403457,78.340601,2023-03-26,21:00,21,Sunday,1,highway,5,0,fog,low,28,medium,poor road,minor,5,5,0,None,0.45
7787,Pune,Maharashtra,18.686124,73.717608,2024-08-14,23:00,23,Wednesday,0,rural,1,1,clear,high,26,high,weather,major,3,3,0,None,0.3
7788,Chandigarh,Punjab,30.729537,76.738756,2022-08-28,21:00,21,Sunday,1,rural,5,1,clear,high,27,medium,weather,major,2,0,0,None,0.1
7789,Chandigarh,Punjab,30.633416,76.713317,2024-03-30,20:00,20,Saturday,1,rural,5,0,clear,high,15,low,distraction,major,3,3,0,None,0.1
7790,Delhi,Delhi,28.749379,77.024803,2024-01-11,9:00,9,Thursday,0,urban,6,0,clear,high,32,medium,distraction,minor,4,3,1,None,0.25
7791,Chennai,Tamil Nadu,12.911418,80.172785,2023-12-14,7:00,7,Thursday,0,highway,5,1,rain,low,38,medium,drunk driving,minor,5,1,0,None,0.45
7792,Kolkata,West Bengal,22.500167,88.261372,2022-02-11,13:00,13,Friday,0,urban,3,1,clear,high,32,medium,distraction,minor,3,0,0,None,0.1
7793,Chandigarh,Punjab,30.722084,76.738281,2022-06-11,9:00,9,Saturday,1,highway,3,1,rain,low,33,high,drunk driving,minor,5,3,1,None,0.8
7794,Mumbai,Maharashtra,18.84478,72.884068,2024-07-03,19:00,19,Wednesday,0,highway,4,1,clear,high,34,high,weather,major,4,3,1,None,0.45
7795,Mumbai,Maharashtra,19.055151,72.811759,2022-08-20,1:00,1,Saturday,1,urban,3,1,rain,medium,20,medium,weather,major,3,3,0,None,0.25
7796,Chennai,Tamil Nadu,12.981458,80.131912,2025-04-12,1:00,1,Saturday,1,urban,6,1,clear,high,35,high,poor road,major,2,2,0,None,0.3
7797,Delhi,Delhi,28.742861,77.210292,2023-03-01,14:00,14,Wednesday,0,urban,5,0,rain,low,17,medium,weather,major,5,5,0,None,0.45
7798,Mumbai,Maharashtra,19.261113,72.815462,2024-02-21,13:00,13,Wednesday,0,highway,3,1,clear,high,29,medium,weather,minor,3,2,0,None,0.1
7799,Pune,Maharashtra,18.531282,73.793208,2022-02-22,21:00,21,Tuesday,0,urban,5,1,fog,low,22,high,distraction,major,5,2,0,None,0.65
7800,Delhi,Delhi,28.450535,76.80492,2024-09-17,13:00,13,Tuesday,0,highway,5,1,rain,low,25,medium,weather,fatal,5,5,0,None,0.65
7801,Chennai,Tamil Nadu,13.069963,80.275715,2023-12-06,16:00,16,Wednesday,0,highway,2,1,rain,low,18,low,poor road,minor,4,2,0,None,0.45
7802,Bangalore,Karnataka,13.146052,77.575644,2023-07-24,1:00,1,Monday,0,urban,5,1,rain,low,30,medium,drunk driving,major,5,4,0,None,0.45
7803,Delhi,Delhi,28.469261,76.865387,2022-09-14,13:00,13,Wednesday,0,urban,6,0,rain,medium,38,medium,distraction,minor,4,0,0,None,0.25
7804,Kolkata,West Bengal,22.63254,88.406997,2023-05-08,15:00,15,Monday,0,highway,2,0,rain,medium,23,medium,poor road,minor,5,4,0,None,0.25
7805,Mumbai,Maharashtra,19.084725,72.738147,2025-03-31,16:00,16,Monday,0,highway,5,1,rain,medium,27,medium,distraction,minor,4,3,0,None,0.25
7806,Chandigarh,Punjab,30.705808,76.710953,2023-01-08,15:00,15,Sunday,1,highway,5,0,fog,low,30,high,poor road,minor,3,2,0,None,0.65
7807,Chandigarh,Punjab,30.772918,76.895414,2025-01-01,16:00,16,Wednesday,0,highway,6,0,fog,low,25,low,weather,major,1,1,0,None,0.45
7808,Kolkata,West Bengal,22.574005,88.475859,2022-04-29,10:00,10,Friday,0,highway,2,0,rain,low,21,high,drunk driving,minor,4,4,1,None,0.8
7809,Bangalore,Karnataka,12.874342,77.663305,2023-04-01,6:00,6,Saturday,1,rural,3,0,fog,low,27,medium,weather,minor,4,4,0,None,0.45
7810,Bangalore,Karnataka,13.192143,77.674731,2022-08-05,18:00,18,Friday,0,highway,6,0,rain,medium,37,high,weather,fatal,2,2,1,None,0.8
7811,Hyderabad,Telangana,17.48822,78.374451,2022-02-22,13:00,13,Tuesday,0,urban,6,0,clear,high,34,high,drunk driving,minor,5,1,0,None,0.3
7812,Hyderabad,Telangana,17.395094,78.517694,2023-09-21,5:00,5,Thursday,0,highway,4,0,clear,high,40,medium,drunk driving,major,5,2,0,None,0.1
7813,Hyderabad,Telangana,17.415112,78.390666,2022-04-09,6:00,6,Saturday,1,urban,4,0,clear,high,20,low,drunk driving,fatal,4,4,0,None,0.3
7814,Hyderabad,Telangana,17.55425,78.365128,2022-10-10,14:00,14,Monday,0,highway,6,0,fog,low,36,high,distraction,minor,5,3,0,None,0.65
7815,Chandigarh,Punjab,30.795414,76.752413,2024-04-07,23:00,23,Sunday,1,rural,5,1,fog,low,28,medium,weather,minor,4,1,0,None,0.45
7816,Mumbai,Maharashtra,19.068667,72.785116,2024-06-05,18:00,18,Wednesday,0,urban,1,0,clear,high,19,medium,poor road,major,5,5,1,None,0.25
7817,Hyderabad,Telangana,17.339829,78.373385,2025-03-03,3:00,3,Monday,0,urban,2,0,rain,medium,35,low,poor road,minor,3,3,0,None,0.25
7818,Kolkata,West Bengal,22.698295,88.354865,2022-03-25,9:00,9,Friday,0,rural,2,1,rain,low,16,high,overspeeding,minor,2,1,1,None,0.8
7819,Pune,Maharashtra,18.509195,73.920416,2025-03-16,12:00,12,Sunday,1,highway,4,1,fog,low,30,low,distraction,minor,1,0,0,None,0.45
7820,Chandigarh,Punjab,30.706648,76.887043,2025-01-06,11:00,11,Monday,0,highway,1,1,fog,low,26,low,distraction,minor,4,3,0,None,0.45
7821,Kolkata,West Bengal,22.456464,88.436647,2025-01-05,8:00,8,Sunday,1,rural,1,1,clear,high,30,low,weather,major,3,2,1,None,0.25
7822,Pune,Maharashtra,18.668819,73.927504,2024-09-06,17:00,17,Friday,0,highway,6,1,clear,high,16,medium,distraction,minor,1,0,1,None,0.25
7823,Chennai,Tamil Nadu,13.02344,80.214437,2023-07-28,17:00,17,Friday,0,rural,1,0,fog,low,21,medium,distraction,major,3,0,1,None,0.6
7824,Bangalore,Karnataka,13.036625,77.512179,2023-08-17,6:00,6,Thursday,0,rural,2,0,fog,low,15,high,distraction,minor,3,0,0,None,0.65
7825,Kolkata,West Bengal,22.496463,88.350934,2023-01-06,1:00,1,Friday,0,rural,2,0,clear,high,24,low,poor road,minor,3,1,0,None,0.1
7826,Bangalore,Karnataka,12.863376,77.539011,2024-03-09,15:00,15,Saturday,1,urban,5,1,clear,high,24,high,drunk driving,minor,1,0,0,None,0.3
7827,Delhi,Delhi,28.493529,77.100473,2024-07-16,6:00,6,Tuesday,0,highway,1,0,rain,medium,24,medium,overspeeding,minor,1,0,0,None,0.25
7828,Kolkata,West Bengal,22.64261,88.494435,2025-04-12,19:00,19,Saturday,1,rural,1,1,rain,medium,28,high,overspeeding,minor,4,2,1,None,0.6
7829,Kolkata,West Bengal,22.614005,88.302562,2022-03-21,2:00,2,Monday,0,rural,1,1,rain,medium,25,low,drunk driving,minor,5,2,0,None,0.25
7830,Mumbai,Maharashtra,19.138477,72.954467,2023-06-22,16:00,16,Thursday,0,rural,4,0,clear,high,32,medium,drunk driving,minor,4,2,0,None,0.1
7831,Kolkata,West Bengal,22.469228,88.373552,2023-07-06,2:00,2,Thursday,0,urban,1,1,fog,low,27,low,poor road,major,5,5,0,None,0.45
7832,Mumbai,Maharashtra,19.029791,72.728512,2024-05-11,0:00,0,Saturday,1,rural,1,1,fog,low,16,high,overspeeding,minor,4,2,0,None,0.65
7833,Pune,Maharashtra,18.530738,73.889757,2025-03-27,16:00,16,Thursday,0,rural,2,0,clear,high,15,medium,overspeeding,major,2,1,0,None,0.1
7834,Delhi,Delhi,28.896587,77.126015,2023-02-22,13:00,13,Wednesday,0,rural,1,0,rain,medium,23,medium,overspeeding,minor,1,0,0,None,0.25
7835,Chennai,Tamil Nadu,13.076606,80.157968,2024-01-06,20:00,20,Saturday,1,rural,5,1,clear,high,22,low,distraction,minor,4,3,0,None,0.1
7836,Chandigarh,Punjab,30.778268,76.793966,2023-05-13,6:00,6,Saturday,1,highway,4,0,clear,high,36,medium,drunk driving,minor,1,0,0,None,0.1
7837,Chennai,Tamil Nadu,12.981348,80.253039,2022-01-13,15:00,15,Thursday,0,urban,5,0,rain,low,34,high,poor road,fatal,2,2,0,None,0.85
7838,Chennai,Tamil Nadu,13.18836,80.181674,2022-10-21,17:00,17,Friday,0,highway,2,1,fog,low,29,medium,poor road,fatal,2,2,1,None,0.8
7839,Bangalore,Karnataka,12.929268,77.636578,2023-12-20,16:00,16,Wednesday,0,urban,3,1,rain,medium,33,high,poor road,minor,4,4,0,None,0.45
7840,Bangalore,Karnataka,13.03107,77.668531,2023-06-07,21:00,21,Wednesday,0,urban,5,0,rain,low,15,high,distraction,minor,4,2,0,None,0.65
7841,Bangalore,Karnataka,13.075043,77.510593,2023-07-23,23:00,23,Sunday,1,urban,3,0,clear,high,33,medium,overspeeding,minor,2,1,0,None,0.1
7842,Chennai,Tamil Nadu,13.16598,80.174643,2023-07-28,20:00,20,Friday,0,highway,1,1,rain,low,27,low,distraction,minor,1,1,0,None,0.45
7843,Chennai,Tamil Nadu,12.92145,80.107864,2024-09-10,14:00,14,Tuesday,0,highway,1,1,rain,low,21,low,drunk driving,minor,5,2,0,None,0.45
7844,Delhi,Delhi,28.730153,77.110157,2022-03-10,10:00,10,Thursday,0,rural,2,0,clear,high,30,medium,weather,major,1,1,1,None,0.25
7845,Bangalore,Karnataka,12.911368,77.672486,2024-02-01,19:00,19,Thursday,0,urban,2,0,clear,high,20,high,weather,minor,1,0,1,None,0.45
7846,Kolkata,West Bengal,22.697101,88.294862,2022-06-29,17:00,17,Wednesday,0,highway,5,1,rain,low,32,high,drunk driving,major,5,0,1,None,0.8
7847,Chennai,Tamil Nadu,13.154324,80.286096,2023-05-04,0:00,0,Thursday,0,highway,4,1,fog,low,15,low,weather,major,1,0,0,None,0.45
7848,Pune,Maharashtra,18.460103,73.957579,2024-11-22,11:00,11,Friday,0,urban,2,0,fog,low,15,low,overspeeding,major,3,2,0,None,0.45
7849,Hyderabad,Telangana,17.20649,78.313778,2025-01-22,3:00,3,Wednesday,0,urban,4,0,clear,high,19,low,poor road,major,3,2,0,None,0.1
7850,Hyderabad,Telangana,17.392836,78.54288,2025-04-11,16:00,16,Friday,0,urban,6,0,fog,low,27,high,overspeeding,minor,4,1,0,None,0.65
7851,Chennai,Tamil Nadu,13.184819,80.179146,2024-04-19,21:00,21,Friday,0,urban,3,1,fog,low,29,low,distraction,major,2,2,0,None,0.45
7852,Chandigarh,Punjab,30.741673,76.723274,2025-01-07,23:00,23,Tuesday,0,urban,5,0,fog,low,21,low,overspeeding,minor,4,2,0,None,0.45
7853,Hyderabad,Telangana,17.566864,78.465182,2024-01-23,17:00,17,Tuesday,0,rural,3,0,clear,high,33,low,overspeeding,minor,1,0,1,None,0.25
7854,Pune,Maharashtra,18.453543,73.801205,2023-01-30,2:00,2,Monday,0,highway,6,1,fog,low,23,medium,drunk driving,minor,1,0,0,None,0.45
7855,Hyderabad,Telangana,17.50238,78.237323,2022-03-27,11:00,11,Sunday,1,rural,5,0,clear,high,22,high,poor road,major,1,0,0,None,0.3
7856,Chennai,Tamil Nadu,12.92456,80.1695,2024-11-14,1:00,1,Thursday,0,rural,5,1,rain,medium,15,low,poor road,major,5,4,0,None,0.25
7857,Chennai,Tamil Nadu,13.137303,80.112927,2023-05-28,2:00,2,Sunday,1,urban,2,1,rain,medium,28,medium,weather,major,3,3,0,None,0.25
7858,Chennai,Tamil Nadu,12.804088,80.191241,2022-03-12,0:00,0,Saturday,1,rural,3,1,fog,low,19,medium,poor road,major,3,0,0,None,0.45
7859,Mumbai,Maharashtra,19.053083,72.919646,2023-03-06,17:00,17,Monday,0,highway,2,1,fog,low,25,high,weather,fatal,4,4,1,None,1.0
7860,Chennai,Tamil Nadu,13.15157,80.238062,2022-05-11,22:00,22,Wednesday,0,highway,3,1,rain,medium,35,high,distraction,major,3,1,0,None,0.45
7861,Bangalore,Karnataka,12.965884,77.596285,2022-03-22,13:00,13,Tuesday,0,highway,1,1,rain,low,32,medium,poor road,fatal,4,4,0,None,0.65
7862,Kolkata,West Bengal,22.618947,88.383793,2024-02-02,20:00,20,Friday,0,urban,2,1,rain,medium,29,medium,poor road,minor,2,1,0,None,0.25
7863,Delhi,Delhi,28.533428,77.005112,2023-04-14,15:00,15,Friday,0,urban,4,1,fog,low,24,low,distraction,major,4,0,0,None,0.45
7864,Bangalore,Karnataka,12.808663,77.442338,2023-07-04,19:00,19,Tuesday,0,highway,4,0,rain,medium,21,high,overspeeding,minor,4,2,1,None,0.6
7865,Kolkata,West Bengal,22.564936,88.219594,2023-06-10,20:00,20,Saturday,1,highway,4,0,fog,low,15,low,drunk driving,minor,4,1,0,None,0.45
7866,Hyderabad,Telangana,17.580263,78.373688,2023-09-01,4:00,4,Friday,0,rural,3,0,rain,low,16,high,distraction,fatal,5,5,0,None,0.85
7867,Pune,Maharashtra,18.401251,73.93012,2022-09-14,7:00,7,Wednesday,0,highway,2,0,rain,low,21,medium,poor road,minor,4,1,0,None,0.45
7868,Hyderabad,Telangana,17.319374,78.451864,2024-08-23,20:00,20,Friday,0,highway,2,1,rain,low,16,high,weather,major,1,1,0,None,0.65
7869,Kolkata,West Bengal,22.662458,88.222528,2024-05-16,11:00,11,Thursday,0,highway,6,1,fog,low,28,medium,overspeeding,minor,4,0,0,None,0.45
7870,Chennai,Tamil Nadu,13.196671,80.114744,2025-02-06,10:00,10,Thursday,0,urban,3,0,rain,low,23,medium,poor road,minor,4,4,1,None,0.6
